event_id,data_id,sta,ptime,stime,pol,source,lat,lon,elv,ptime0,stime0,predict,prob,std
J2016041507465204,D20160415000600,N.NGSH,2016-04-15T07:47:07.221023Z,2016-04-15T07:47:18.245398Z,D,original,32.6999,129.8625,-46.0,2016-04-15T07:47:06.670000Z,2016-04-15T07:47:17.990000Z,D,0.9998,0.0012
J2016041507465204,D20160415000600,N.NMNH,2016-04-15T07:47:00.311360Z,2016-04-15T07:47:06.317881Z,D,original,32.9553,131.2207,592.0,2016-04-15T07:47:00.160000Z,,D,1.0,0.0
J2016041507465204,D20160415000600,N.NRAH,2016-04-15T07:47:04.212227Z,2016-04-15T07:47:13.051515Z,U,original,32.1987,131.1946,134.0,2016-04-15T07:47:04.510000Z,2016-04-15T07:47:13.420000Z,U,1.0,0.0
J2016041507465204,D20160415000600,N.NTHH,2016-04-15T07:47:06.608006Z,2016-04-15T07:47:17.187299Z,D,original,33.1525,131.542,62.0,2016-04-15T07:47:06.180000Z,,D,1.0,0.0
J2016041507465204,D20160415000600,N.OGNH,2016-04-15T07:47:00.869179Z,2016-04-15T07:47:07.280876Z,D,original,33.122,131.0629,306.0,2016-04-15T07:47:01.130000Z,2016-04-15T07:47:07.210000Z,D,1.0,0.0
J2016041507465204,D20160415000600,N.SBAH,2016-04-15T07:46:59.228083Z,2016-04-15T07:47:04.447832Z,U,original,32.4754,131.1043,317.0,2016-04-15T07:46:59.320000Z,2016-04-15T07:47:04.160000Z,U,1.0,0.0
J2016041507465204,D20160415000600,N.SBSH,2016-04-15T07:47:09.716036Z,2016-04-15T07:47:22.552230Z,K,original,33.1256,129.8102,-191.0,2016-04-15T07:47:09.300000Z,2016-04-15T07:47:21.540000Z,U,1.0,0.0
J2016041507465204,D20160415000600,N.SNIH,2016-04-15T07:47:03.891509Z,2016-04-15T07:47:12.497867Z,D,original,33.1306,131.3473,273.0,2016-04-15T07:47:03.850000Z,,D,1.0,0.0
J2016041507465204,D20160415000600,N.TKKH,2016-04-15T07:47:03.300859Z,2016-04-15T07:47:11.478263Z,D,original,32.9103,130.1408,-172.0,2016-04-15T07:47:02.970000Z,2016-04-15T07:47:11.460000Z,D,1.0,0.0
J2016041507465204,D20160415000600,N.TMNH,2016-04-15T07:46:58.522898Z,2016-04-15T07:47:03.230683Z,U,original,32.9873,130.5608,-47.0,2016-04-15T07:46:58.710000Z,2016-04-15T07:47:03.290000Z,U,1.0,0.0
J2016041507465204,D20160415000600,N.TYNH,2016-04-15T07:46:54.717221Z,2016-04-15T07:46:56.661393Z,U,original,32.6344,130.7521,-41.0,2016-04-15T07:46:54.740000Z,2016-04-15T07:46:56.650000Z,U,1.0,0.0
J2016041507465204,D20160415000600,N.UKHH,2016-04-15T07:47:02.907302Z,2016-04-15T07:47:10.798899Z,U,original,33.2891,130.817,-12.0,2016-04-15T07:47:02.960000Z,2016-04-15T07:47:10.470000Z,U,1.0,0.0
J2016041507465204,D20160415000600,N.UMIH,2016-04-15T07:47:08.540444Z,2016-04-15T07:47:20.522922Z,U,original,33.5608,130.5499,85.0,2016-04-15T07:47:08.010000Z,2016-04-15T07:47:19.210000Z,U,0.9999,0.0004
J2016041507465204,D20160415000600,N.UMWH,2016-04-15T07:47:04.254226Z,2016-04-15T07:47:13.124016Z,D,original,32.8392,131.5357,161.0,2016-04-15T07:47:04.030000Z,2016-04-15T07:47:12.880000Z,D,1.0,0.0
J2016041507465204,D20160415000600,N.YABH,2016-04-15T07:46:56.416652Z,2016-04-15T07:46:59.594935Z,U,original,32.6501,131.0251,346.0,2016-04-15T07:46:56.410000Z,2016-04-15T07:46:59.620000Z,D,0.9137,0.0931
J2016041507465204,D20160415000600,NAGAHA,2016-04-15T07:47:20.755436Z,2016-04-15T07:47:42.616225Z,K,original,33.5605,132.4762,230.0,2016-04-15T07:47:21.140000Z,,U,1.0,0.0
J2016041507465204,D20160415000600,NAKATS,2016-04-15T07:46:59.925727Z,2016-04-15T07:47:05.652239Z,U,original,33.125,130.8767,540.0,2016-04-15T07:47:00.030000Z,2016-04-15T07:47:05.540000Z,U,1.0,0.0
J2016041507465204,D20160415000600,NARU,2016-04-15T07:47:15.693936Z,2016-04-15T07:47:33.345391Z,K,original,31.53,131.2693,80.0,2016-04-15T07:47:15.240000Z,,U,1.0,0.0
J2016041507465204,D20160415000600,NOMOZA,2016-04-15T07:47:08.344256Z,2016-04-15T07:47:20.184267Z,K,original,32.6327,129.7987,20.0,2016-04-15T07:47:08.140000Z,,D,0.5977,0.2868
J2016041507465204,D20160415000600,OKUCHI,2016-04-15T07:47:03.874269Z,2016-04-15T07:47:12.468107Z,K,original,32.1435,130.5962,440.0,2016-04-15T07:47:03.840000Z,,U,1.0,0.0
J2016041507465204,D20160415000600,SKAMAE,2016-04-15T07:47:09.964548Z,2016-04-15T07:47:22.981140Z,K,original,32.7981,131.9011,6.0,2016-04-15T07:47:09.640000Z,,D,1.0,0.0
J2016041507465204,D20160415000600,SUZUYA,2016-04-15T07:47:15.558436Z,2016-04-15T07:47:33.054192Z,K,original,31.5093,130.4527,400.0,2016-04-15T07:47:15.140000Z,,D,0.9987,0.0035
J2016041507465204,D20160415000600,TAKAZA,2016-04-15T07:47:08.624867Z,2016-04-15T07:47:20.668651Z,U,original,31.9047,131.0857,170.0,2016-04-15T07:47:08.960000Z,2016-04-15T07:47:20.920000Z,U,1.0,0.0
J2016041507465204,D20160415000600,TAMANA,2016-04-15T07:46:58.543385Z,2016-04-15T07:47:03.266044Z,U,original,32.967,130.5305,230.0,2016-04-15T07:46:58.650000Z,2016-04-15T07:47:03.180000Z,U,1.0,0.0
J2016041507465204,D20160415000600,TOSASH,2016-04-15T07:47:21.522896Z,2016-04-15T07:47:43.996583Z,K,original,32.8632,132.7997,180.0,2016-04-15T07:47:21.930000Z,,U,0.9993,0.0025
J2016041507465204,D20160415000600,TOYOHI,2016-04-15T07:47:30.745999Z,2016-04-15T07:48:00.584772Z,K,original,34.6657,132.4185,470.0,2016-04-15T07:47:31.630000Z,,U,0.9978,0.0099
J2016041507465204,D20160415000600,TSUNO,2016-04-15T07:47:06.805275Z,2016-04-15T07:47:17.527789Z,K,original,32.249,131.5022,130.0,2016-04-15T07:47:06.640000Z,,U,1.0,0.0
J2016041507465204,D20160415000600,TSUSHM,2016-04-15T07:47:27.766110Z,2016-04-15T07:47:55.225419Z,K,original,34.5275,129.3963,70.0,2016-04-15T07:47:28.540000Z,,U,0.5811,0.1561
J2016041507465204,D20160415000600,URESHI,2016-04-15T07:47:07.517241Z,2016-04-15T07:47:18.756705Z,K,original,33.0965,129.9467,160.0,2016-04-15T07:47:07.340000Z,,U,1.0,0.0
