pick,net,sta,chan,ptime,stime,source,lat,lon,elv,ptime0,stime0,predict,prob,std
2024T000000013,KS,CHIA,HG,2024-06-11T23:27:16.250868Z,2024-06-11T23:27:36.273297Z,add,37.127287,127.116933,86.0,,,U,0.8625,0.0893
2024T000000013,KS,CHJ3,HH,2024-06-11T23:27:17.423062Z,2024-06-11T23:27:38.381630Z,add,36.873,127.9748,238.0,,,D,0.9997,0.0022
2024T000000013,KS,CHOA,HG,2024-06-11T23:26:56.768103Z,2024-06-11T23:27:01.806315Z,add,35.8408,127.117,107.0,,,D,1.0,0.0
2024T000000013,KS,CHRB,HH,2024-06-11T23:27:15.885536Z,2024-06-11T23:27:35.616201Z,add,35.5342,128.4779,73.0,,,D,1.0,0.0
2024T000000013,KS,CHYB,HH,2024-06-11T23:27:25.844835Z,2024-06-11T23:27:53.528827Z,add,36.9439,128.9144,366.0,,,U,0.9937,0.0098
2024T000000013,KS,CIGB,HH,2024-06-11T23:27:15.201538Z,2024-06-11T23:27:34.385941Z,add,36.0398,128.3813,85.0,,,D,1.0,0.0
2024T000000013,KS,CJD,HH,2024-06-11T23:27:20.536261Z,2024-06-11T23:27:43.981041Z,add,33.9593,126.2933,82.0,,,U,1.0,0.0
2024T000000013,KS,CJDB,HH,2024-06-11T23:26:59.576122Z,2024-06-11T23:27:06.653311Z,add,36.1741,126.5285,69.0,,,U,1.0,0.0
2024T000000013,KS,CLSA,HG,2024-06-11T23:27:16.452098Z,2024-06-11T23:27:36.635234Z,add,35.3628,128.4907,50.0,,,U,0.7485,0.1109
2024T000000013,KS,CPR2,EL,2024-06-11T23:27:11.572709Z,2024-06-11T23:27:27.435825Z,add,36.2211,127.9718,297.0,,,U,0.5109,0.2898
2024T000000013,KS,CSDB,HH,2024-06-11T23:27:17.092067Z,2024-06-11T23:27:37.786296Z,add,34.1811,126.8956,79.0,,,U,1.0,0.0
2024T000000013,KS,CSOA,HG,2024-06-11T23:27:24.060856Z,2024-06-11T23:27:50.320272Z,add,36.3878,129.0854,258.0,,,D,0.5579,0.2308
2024T000000013,KS,CWO2,EL,2024-06-11T23:27:30.074976Z,2024-06-11T23:28:01.136715Z,add,38.0834,127.5204,395.0,,,U,0.9954,0.0062
2024T000000013,KS,DAGA,HG,2024-06-11T23:27:17.804655Z,2024-06-11T23:27:39.067970Z,add,35.8788,128.6527,112.2,,,D,1.0,0.0
2024T000000013,KS,DAYA,HG,2024-06-11T23:26:58.420052Z,2024-06-11T23:27:04.658124Z,add,35.310266,126.972796,44.0,,,U,1.0,0.0
2024T000000013,KS,DDCA,HG,2024-06-11T23:27:26.654626Z,2024-06-11T23:27:54.985252Z,add,37.902,127.061,162.39999999999998,,,U,0.8201,0.1123
2024T000000013,KS,DDCB,HH,2024-06-11T23:27:32.912300Z,2024-06-11T23:28:06.239457Z,add,37.8317,124.7069,81.0,,,U,0.816,0.1829
2024T000000013,KS,DEI2,HH,2024-06-11T23:27:18.599284Z,2024-06-11T23:27:40.497198Z,add,37.2557,126.1048,91.1,,,U,1.0,0.0
2024T000000013,KS,DGHA,HG,2024-06-11T23:27:03.394934Z,2024-06-11T23:27:13.245900Z,add,35.8352,127.5711,359.0,,,D,1.0,0.0
