event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
D20160420001172,265.0,39.8,-89.2,B,7.1,8.7,39,0,5.6,100.0,42.9,0.0,False,2016-04-20 16:01:30,4.0,32.837667,130.799333,15.23,0.0,0.0
D20160415000600,22.9,72.2,-178.6,B,16.4,18.8,40,0,0.0,96.8,40.6,0.0,False,2016-04-15 07:46:52,4.4,32.73,130.797,10.52,0.0,0.0
