utc,lat,lon,dep,mag,pick
2024-06-11T23:26:49.830000Z,35.6989,126.7222,10.2,4.8,2024T000000013
2024-06-12T04:55:43.040000Z,35.7006,126.7248,9.23,3.1,2024T000000056
