net,sta,start,end,lat,lon,elv,digitizer,vel,acc,chan
KS,GACA,2018-03-09,,35.1136,128.3071,178.0,q330sp,,ES-DH-A,HG
KS,GAGA,2019-03-18,,37.1306,129.1696,203.0,q330sp,,ES-DH-A,HG
KS,GAPB,2015-09-30,,37.8442,127.4949,123.8,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,GBI2,2019-03-18,,36.6255,125.559515,144.1,q330hrs,STS-2.5-A,ES-T-A,HH
KS,GDDB,2016-12-16,,34.9931,128.8313,127.40000000000002,q330hrs,CMG-3TB-B,ES-DH-A,HH
KS,GEJA,2022-11-29,,34.998401,128.679686,24.0,Centaur,,Titan-PH-A,HG
KS,GEJB,2018-03-09,,38.4165,128.3858,135.0,q330hrs,STS-2.5-A,ES-DH-A,HH
KS,GGDA,2018-03-09,,35.9499,129.2531,85.0,q330sp,,ES-DH-A,HG
KS,GGDB,2015-09-30,,34.0521917,125.126362,69.0,q330hrs,CMG-3TB-B,ES-DH-A,HH
KS,GGGA,2018-03-09,,36.3637,129.3908,132.0,q330sp,,ES-DH-A,HG
KS,GGSA,2019-03-18,,36.9295,129.1518,655.0,q330sp,,ES-DH-A,HG
KS,GGTA,2019-03-18,,37.7686,126.8991,126.0,q330sp,,ES-DH-A,HG
KS,GH2B,2019-03-18,,37.7076,126.446435,81.69999999999999,q330hrs,STS-5A-A,ES-DH-A,HH
KS,GICA,2019-03-18,,36.0812,128.1016,120.0,q330sp,,ES-DH-A,HG
KS,GIGA,2018-03-09,,36.0689,129.1996,104.0,q330sp,,ES-DH-A,HG
KS,GIJA,2022-11-29,,35.796622,126.902045,16.0,Centaur,,Titan-PH-A,HG
KS,GKSA,2019-03-18,,35.2304,127.2252,182.0,q330sp,,ES-DH-A,HG
KS,GLCA,2019-03-18,,37.9049,128.5207,600.0,q330sp,,ES-DH-A,HG
KS,GLSA,2019-03-18,,36.5255,126.545,77.0,q330sp,,ES-DH-A,HG
KS,GMDB,2015-09-30,,34.0408,127.2882,132.0,q330hrs,STS-2.5-A,ES-DH-A,HH
KS,GMHB,2018-03-09,,38.25,127.421,246.0,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,GMPB,2018-03-09,,37.6421,126.6756,52.0,q330hrs,STS-2.5-A,ES-DH-A,HH
KS,GOBA,2022-11-29,,36.657064,126.544051,45.0,Centaur,,Titan-PH-A,HG
KS,GOCB,2012-12-31,,35.348448,126.598183,45.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,GOSF,2022-08-05,,33.302741,126.182302,20.0,q330hrs,CMG-40T-1-B,ES-T-A,EL
KS,GSGA,2019-03-18,,37.5516,126.8443,91.6,q330sp,,ES-DH-A,HG
KS,GSNA,2018-03-09,,35.7576,129.0109,220.0,q330sp,,ES-DH-A,HG
KS,GUJA,2019-03-18,,33.5504,126.7503,63.0,q330sp,,ES-DH-A,HG
KS,GUMA,2019-03-18,,36.2347,128.2902,102.0,q330sp,,ES-DH-A,HG
KS,GUWB,2016-12-16,,36.18242,128.5932,138.9,q330hrs,STS-2.5-A,ES-DH-A,HH
KS,GWLA,2019-03-18,,37.2195,128.8212,873.0,q330sp,,ES-DH-A,HG
KS,GWYB,2012-12-31,,34.943289,127.691414,76.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,HA2B,2020-12-24,,33.3925,126.2582,40.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,HACA,2015-09-30,,35.4135383,128.1016417,126.0,q330hrs,,ES-DH-A,HG
KS,HAIA,2018-03-09,,34.9444,128.1928,62.0,q330sp,,ES-DH-A,HG
KS,HAMB,2012-11-02,,35.5115544,127.745693,188.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,HANB,2015-09-30,,34.554,126.5688,65.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,HAWA,2018-03-09,,34.671,126.3283,44.0,q330sp,,ES-DH-A,HG
KS,HAWB,2012-12-25,,37.084445,126.773925,10.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,HCNA,2016-05-31,,35.5652,128.17,79.0,q330hrs,,ES-DH-A,HG
KS,HEDA,2019-03-18,,34.6064,126.0365,55.0,q330sp,,ES-DH-A,HG
KS,HESA,2019-03-18,,37.5406,127.9565,249.0,q330sp,,ES-DH-A,HG
KS,HGDB,2018-03-09,,34.7068,125.2012,45.0,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,HGSA,2019-03-18,,36.6579,126.6879,65.0,q330sp,,ES-DH-A,HG
KS,HMGA,2018-03-09,,36.0761,129.5666,79.0,q330sp,,ES-DH-A,HG
KS,HMPA,2018-03-09,,35.1413,126.6176,58.0,q330sp,,ES-DH-A,HG
KS,HOCA,2016-12-16,,37.6838,127.8801,184.0,q330sp,,ES-DH-A,HG
KS,HONA,2019-03-18,,36.4457,127.5791,162.0,q330sp,,ES-DH-A,HG
KS,HSJB,2021-11-02,,36.5668,127.2804,86.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,HTDA,2019-03-18,,34.3908,125.2986,48.0,q330sp,,ES-DH-A,HG
KS,HWCA,2015-09-30,,38.065,127.7746,287.9,q330hrs,,ES-DH-A,HG
KS,HWDB,2019-03-18,,37.6322,127.3404,71.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,HWSA,2019-03-18,,36.4412,127.9441,321.0,q330sp,,ES-DH-A,HG
KS,HYDA,2022-11-29,,36.283577,129.019264,287.0,Centaur,,Titan-PH-A,HG
KS,ICN2,2016-12-16,,37.2908,127.4167,128.0,q330hrs,CMG-40T-1-A,ES-T-A,EL
KS,IJAA,2015-09-30,,37.9471,128.3248,335.9,q330hrs,,ES-DH-A,HG
KS,IJBA,2018-03-09,,38.1208,128.3173,462.0,q330sp,,ES-DH-A,HG
KS,IJDB,2019-03-18,,35.1028,126.0651,55.0,q330hrs,STS-5A-A,ES-DH-A,HH
