net,sta,start,end,lat,lon,elv,digitizer,vel,acc,chan
KS,YEGA,2019-03-18,,35.2837,126.4776,86.0,q330sp,,ES-DH-A,HG
KS,YESA,2016-05-31,,34.7395,127.7405,116.0,q330hrs,,ES-DH-A,HG
KS,YEYB,2016-05-31,,36.6251,129.088,267.0,q330hrs,CMG-3TB-B,ES-DH-A,HH
KS,YGAA,2018-03-09,,35.8532,128.3657,80.0,q330sp,,ES-DH-A,HG
KS,YGBA,2019-03-18,,35.79543,129.3865,141.0,q330sp,,ES-DH-A,HG
KS,YGGA,2019-03-18,,38.0979,127.9852,223.0,q330sp,,ES-DH-A,HG
KS,YJD3,2020-03-18,,37.499,126.5493,98.0,q330sp,,ES-T-A,HG
KS,YKDB,2015-09-30,,34.6223,128.2734,122.0,q330hrs,CMG-3TB-B,ES-DH-A,HH
KS,YNDB,2015-09-30,,34.4323,127.8011,62.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,YOA,2016-05-31,,34.7655,126.7379,154.0,q330hrs,CMG-40T-1-B,ES-T-A,EL
KS,YOCB,2015-09-30,,35.9771,128.9511,143.0,q330hrs,CMG-3TB-B,ES-DH-A,HH
KS,YODB,2015-09-30,,36.5333,129.4096,88.0,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,YOGA,2019-03-18,,38.0942,127.2765,200.0,q330sp,,ES-DH-A,HG
KS,YOJA,2023-10-27,,35.022225,128.492818,58.0,q330sp,,ES-DH-A,HG
KS,YOJB,2015-09-30,,36.872,128.5166,252.0,q330hrs,STS-2.5-A,ES-DH-A,HH
KS,YOW2,2016-05-31,,37.1812,128.4569,287.0,q330hrs,CMG-40T-1-B,ES-T-A,EL
KS,YPDB,2015-09-30,,37.608,125.71,97.0,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,YSAB,2016-05-31,,36.742,126.8156,85.0,q330hrs,STS-2.5-A,ES-DH-A,HH
KS,YSDA,2019-03-18,,33.9866,126.9205,57.0,q330sp,,ES-DH-A,HG
KS,YUGA,2018-03-09,,36.5406,126.9473,95.0,q330sp,,ES-DH-A,HG
