pick,net,sta,chan,ptime,stime,source,lat,lon,elv,ptime0,stime0,predict,prob,std,sta0
2024T000000013,KS,GACA,HG,2024-06-11T23:27:15.630609Z,2024-06-11T23:27:35.157682Z,add,35.1136,128.3071,178.0,,,D,1.0,0.0,GACA
2024T000000013,KS,GBI2,HH,2024-06-11T23:27:14.266007Z,2024-06-11T23:27:32.703263Z,add,36.6255,125.559515,144.1,,,U,0.9996,0.0009,GBI2
2024T000000013,KS,GDDB,HH,2024-06-11T23:27:21.699452Z,2024-06-11T23:27:46.073137Z,add,34.9931,128.8313,127.40000000000002,,,D,1.0,0.0,GDDB
2024T000000013,KS,GEJB,HH,2024-06-11T23:27:37.720075Z,2024-06-11T23:28:14.885511Z,add,38.4165,128.3858,135.0,,,U,1.0,0.0,GEJB
2024T000000013,KS,GGDA,HG,2024-06-11T23:27:24.558539Z,2024-06-11T23:27:51.215380Z,add,35.9499,129.2531,85.0,,,D,1.0,1e-04,GGDA
2024T000000013,KS,GGDB,HH,2024-06-11T23:27:25.058247Z,2024-06-11T23:27:52.114124Z,add,34.0521917,125.126362,69.0,,,U,1.0,0.0,GGDB
2024T000000013,KS,GGGA,HG,2024-06-11T23:27:27.181796Z,2024-06-11T23:27:55.933373Z,add,36.3637,129.3908,132.0,,,D,1.0,0.0,GGGA
2024T000000013,KS,GH2B,HH,2024-06-11T23:27:23.919083Z,2024-06-11T23:27:50.065288Z,add,37.7076,126.446435,81.69999999999999,,,U,1.0,0.0,GH2B
2024T000000013,KS,GICA,HG,2024-06-11T23:27:12.302368Z,2024-06-11T23:27:28.700568Z,add,36.0812,128.1016,120.0,,,D,1.0,1e-04,GICA
2024T000000013,KS,GIGA,HG,2024-06-11T23:27:24.195978Z,2024-06-11T23:27:50.563296Z,add,36.0689,129.1996,104.0,,,D,1.0,0.0,GIGA
2024T000000013,KS,GIJA,HG,2024-06-11T23:26:53.595446Z,2024-06-11T23:26:56.205087Z,original,35.796622,126.902045,16.0,2024-06-11T23:26:53.595446Z,2024-06-11T23:26:56.205087Z,D,1.0,0.0,GIJA
2024T000000013,KS,GKSA,HG,2024-06-11T23:27:01.880951Z,2024-06-11T23:27:10.632200Z,add,35.2304,127.2252,182.0,,,U,1.0,0.0,GKSA
2024T000000013,KS,GLSA,HG,2024-06-11T23:27:05.996001Z,2024-06-11T23:27:17.735608Z,add,36.5255,126.545,77.0,,,U,1.0,1e-04,GLSA
2024T000000013,KS,GMDB,HH,2024-06-11T23:27:19.807704Z,2024-06-11T23:27:42.670664Z,add,34.0408,127.2882,132.0,,,U,0.9994,0.0015,GMDB
2024T000000013,KS,GMHB,HH,2024-06-11T23:27:32.041529Z,2024-06-11T23:28:04.673439Z,add,38.25,127.421,246.0,,,D,0.9997,0.0011,GMHB
2024T000000013,KS,GMPB,HH,2024-06-11T23:27:22.856405Z,2024-06-11T23:27:48.153999Z,add,37.6421,126.6756,52.0,,,D,1.0,1e-04,GMPB
2024T000000013,KS,GOCB,HH,2024-06-11T23:26:57.034231Z,2024-06-11T23:27:02.265785Z,add,35.348448,126.598183,45.0,,,U,1.0,0.0,GOCB
2024T000000013,KS,GSGA,HG,2024-06-11T23:27:21.642402Z,2024-06-11T23:27:45.970529Z,add,37.5516,126.8443,91.6,,,D,0.9993,0.0011,GSGA
2024T000000013,KS,GSNA,HG,2024-06-11T23:27:21.691261Z,2024-06-11T23:27:46.058406Z,add,35.7576,129.0109,220.0,,,D,1.0,0.0,GSNA
2024T000000013,KS,GUMA,HG,2024-06-11T23:27:15.071349Z,2024-06-11T23:27:34.151780Z,add,36.2347,128.2902,102.0,,,D,0.9984,0.0038,GUMA
2024T000000013,KS,GUWB,HH,2024-06-11T23:27:17.994756Z,2024-06-11T23:27:39.409888Z,add,36.18242,128.5932,138.9,,,D,1.0,0.0,GUWB
2024T000000013,KS,GWLA,HG,2024-06-11T23:27:27.372362Z,2024-06-11T23:27:56.276107Z,add,37.2195,128.8212,873.0,,,D,1.0,0.0002,GWLA
2024T000000013,KS,HA2B,HH,2024-06-11T23:27:28.278887Z,2024-06-11T23:27:57.906490Z,add,33.3925,126.2582,40.0,,,U,0.9976,0.005,HA2B
2024T000000013,KS,HAIA,HG,2024-06-11T23:27:15.619400Z,2024-06-11T23:27:35.137520Z,add,34.9444,128.1928,62.0,,,D,0.9977,0.0041,HAIA
2024T000000013,KS,HAMB,HH,2024-06-11T23:27:06.263917Z,2024-06-11T23:27:18.198078Z,add,35.5115544,127.745693,188.0,,,D,1.0,0.0,HAMB
2024T000000013,KS,HAWA,HG,2024-06-11T23:27:10.529713Z,2024-06-11T23:27:25.576366Z,add,34.671,126.3283,44.0,,,U,0.998,0.0047,HAWA
2024T000000013,KS,HAWB,HH,2024-06-11T23:27:15.190325Z,2024-06-11T23:27:34.365773Z,add,37.084445,126.773925,10.0,,,U,1.0,0.0,HAWB
2024T000000013,KS,HGDB,HH,2024-06-11T23:27:17.996657Z,2024-06-11T23:27:39.413306Z,add,34.7068,125.2012,45.0,,,D,1.0,0.0,HGDB
2024T000000013,KS,HMPA,HG,2024-06-11T23:27:00.777813Z,2024-06-11T23:27:08.727893Z,add,35.1413,126.6176,58.0,,,U,1.0,0.0,HMPA
2024T000000013,KS,HSJB,HH,2024-06-11T23:27:08.646934Z,2024-06-11T23:27:22.311616Z,add,36.5668,127.2804,86.0,,,U,1.0,0.0,HSJB
2024T000000013,KS,IJAA,HG,2024-06-11T23:27:31.723913Z,2024-06-11T23:28:04.102233Z,add,37.9471,128.3248,335.9,,,U,0.9984,0.0042,IJAA
2024T000000013,KS,IJBA,HG,2024-06-11T23:27:33.769184Z,2024-06-11T23:28:07.780469Z,add,38.1208,128.3173,462.0,,,U,1.0,1e-04,IJBA
2024T000000013,KS,IJDB,HH,2024-06-11T23:27:05.281702Z,2024-06-11T23:27:16.502601Z,add,35.1028,126.0651,55.0,,,D,1.0,0.0,IJDB
2024T000000013,KS,IKSB,HH,2024-06-11T23:26:56.076505Z,2024-06-11T23:27:00.612633Z,add,35.9355,126.9747,66.0,,,D,1.0,0.0,IKSB
2024T000000013,KS,IMSB,HH,2024-06-11T23:26:58.923126Z,2024-06-11T23:27:05.526641Z,add,35.6124,127.2854,238.0,,,D,1.0,0.0,IMSB
2024T000000013,KS,IPTA,HG,2024-06-11T23:27:14.554822Z,2024-06-11T23:27:33.222736Z,add,36.996887,127.135381,0.0649999999999999,,,D,1.0,1e-04,IPTA
2024T000000013,KS,IYIB,HH,2024-06-11T23:27:18.466771Z,2024-06-11T23:27:40.258860Z,add,37.2708,127.2317,164.0,,,D,0.9999,0.0006,IYIB
2024T000000013,KS,JAEA,HG,2024-06-11T23:27:25.487414Z,2024-06-11T23:27:52.885995Z,add,36.8,128.9903,380.0,,,U,1.0,0.0,JAEA
2024T000000013,KS,JAEB,HH,2024-06-11T23:27:08.994956Z,2024-06-11T23:27:22.912371Z,add,34.879054,126.028758,2.0,,,U,0.9998,0.0004,JAEB
2024T000000013,KS,JAGA,HG,2024-06-11T23:26:57.432034Z,2024-06-11T23:27:02.952616Z,add,35.3196,126.8107,121.8,,,U,1.0,0.0,JAGA
2024T000000013,KS,JAHA,HG,2024-06-11T23:27:09.499093Z,2024-06-11T23:27:23.782607Z,add,34.689,126.9194,89.0,,,D,0.9893,0.0147,JAHA
2024T000000013,KS,JASA,HG,2024-06-11T23:27:02.399930Z,2024-06-11T23:27:11.528374Z,add,35.6571,127.5204,454.0,,,D,1.0,0.0,JASA
2024T000000013,KS,JDGB,HH,2024-06-11T23:27:30.960601Z,2024-06-11T23:28:02.729470Z,add,37.690417,128.674248,813.0,,,D,0.9992,0.0018,JDGB
2024T000000013,KS,JDO2,EL,2024-06-11T23:27:13.571942Z,2024-06-11T23:27:31.284619Z,add,34.473,126.3238,541.0,,,U,1.0,0.0,JDO2
2024T000000013,KS,JEDA,HG,2024-06-11T23:27:06.421844Z,2024-06-11T23:27:18.470690Z,add,35.001844,126.101988,8.0,,,D,1.0,0.0,JEDA
2024T000000013,KS,JEJB,HH,2024-06-11T23:27:26.515809Z,2024-06-11T23:27:54.735589Z,add,35.6374,129.4411,46.4,,,D,1.0,0.0,JEJB
2024T000000013,KS,JESA,HG,2024-06-11T23:27:28.182754Z,2024-06-11T23:27:57.733596Z,add,37.4303,128.6653,434.0,,,D,0.9996,0.0014,JESA
2024T000000013,KS,JEU2,EL,2024-06-11T23:26:55.221369Z,2024-06-11T23:26:59.132169Z,original,35.49345,126.929807,198.0,2024-06-11T23:26:55.221369Z,,U,1.0,0.0,JEU2
2024T000000013,KS,JHCB,HH,2024-06-11T23:27:32.548811Z,2024-06-11T23:28:05.585757Z,add,38.232183,127.688756,468.0,,,U,0.9997,0.0005,JHCB
2024T000000013,KS,JLSA,HG,2024-06-11T23:27:05.773527Z,2024-06-11T23:27:17.351576Z,add,35.3574,127.648,541.0,,,D,0.9999,0.0002,JLSA
2024T000000013,KS,JMJ2,EL,2024-06-11T23:27:33.579475Z,2024-06-11T23:28:07.439298Z,add,37.8816,128.7561,108.0,,,D,1.0,0.0,JMJ2
2024T000000013,KS,JNUA,HG,2024-06-11T23:27:10.294367Z,2024-06-11T23:27:25.155377Z,add,36.6908,127.2005,126.0,,,U,1.0,1e-04,JNUA
2024T000000013,KS,JNYA,HG,2024-06-11T23:27:19.192374Z,2024-06-11T23:27:41.563932Z,add,35.2822,128.7175,74.0,,,D,1.0,0.0,JNYA
2024T000000013,KS,JODB,HH,2024-06-11T23:27:16.681092Z,2024-06-11T23:27:37.047109Z,add,34.3115,126.0437,60.0,,,U,1.0,0.0,JODB
2024T000000013,KS,JUCA,HG,2024-06-11T23:27:20.533912Z,2024-06-11T23:27:43.976817Z,add,35.2423,128.828,56.0,,,D,1.0,1e-04,JUCA
2024T000000013,KS,JWJB,HH,2024-06-11T23:27:23.923533Z,2024-06-11T23:27:50.073290Z,add,37.415544,128.050498,299.0,,,D,0.9952,0.0191,JWJB
2024T000000013,KS,KAWA,HG,2024-06-11T23:27:33.424954Z,2024-06-11T23:28:07.161412Z,add,37.8052,128.8548,133.0,,,U,0.9993,0.001,KAWA
2024T000000013,KS,KCH2,EL,2024-06-11T23:27:08.608044Z,2024-06-11T23:27:22.244484Z,add,35.614,127.9188,442.0,,,D,1.0,0.0,KCH2
2024T000000013,KS,KESB,HH,2024-06-11T23:27:15.961078Z,2024-06-11T23:27:35.752072Z,add,36.953658,127.604785,0.237,,,U,0.9999,0.0004,KESB
2024T000000013,KS,KH2B,HH,2024-06-11T23:27:12.136139Z,2024-06-11T23:27:28.412437Z,add,34.6185,127.2757,108.0,,,U,1.0,0.0,KH2B
2024T000000013,KS,KKDA,HG,2024-06-11T23:27:13.806696Z,2024-06-11T23:27:31.789121Z,add,34.4557,127.1222,55.0,,,U,1.0,0.0,KKDA
2024T000000013,KS,KMSB,HH,2024-06-11T23:27:04.068188Z,2024-06-11T23:27:14.407940Z,add,36.1059,127.4816,217.8,,,D,1.0,0.0,KMSB
2024T000000013,KS,KWJ2,HH,2024-06-11T23:27:01.113599Z,2024-06-11T23:27:09.307539Z,add,35.1599,126.9911,263.0,,,U,1.0,0.0,KWJ2
2024T000000013,KS,KWJU,HH,2024-06-11T23:27:01.113599Z,2024-06-11T23:27:09.307539Z,add,35.1599,126.9911,263.0,,,U,1.0,0.0,KWJU
2024T000000013,KS,LIWA,HG,2024-06-11T23:27:07.289116Z,2024-06-11T23:27:19.967686Z,add,36.2482,127.6137,151.0,,,D,1.0,0.0,LIWA
2024T000000013,KS,MALA,HG,2024-06-11T23:26:59.754345Z,2024-06-11T23:27:06.960979Z,add,35.7445,127.3477,304.0,,,D,1.0,0.0,MALA
2024T000000013,KS,MANA,HG,2024-06-11T23:27:03.391918Z,2024-06-11T23:27:13.240694Z,add,35.0941,126.285,70.4,,,U,1.0,0.0,MANA
2024T000000013,KS,MGY2,EL,2024-06-11T23:27:15.969989Z,2024-06-11T23:27:35.768101Z,add,36.6551667,128.060783,70.4,,,D,1.0,0.0,MGY2
2024T000000013,KS,MJDB,HH,2024-06-11T23:27:21.032236Z,2024-06-11T23:27:44.873095Z,add,34.2074,125.469,47.0,,,U,0.9993,0.0052,MJDB
2024T000000013,KS,MMD,HH,2024-06-11T23:27:21.489169Z,2024-06-11T23:27:45.694927Z,add,34.6488,128.5769,128.0,,,D,1.0,0.0003,MMD
2024T000000013,KS,MND,HH,2024-06-11T23:26:55.180915Z,2024-06-11T23:26:58.938927Z,original,35.8043,126.4242,56.4,,2024-06-11T23:26:58.938927Z,D,1.0,0.0,MND
2024T000000013,KS,MNDB,HH,2024-06-11T23:27:05.543505Z,2024-06-11T23:27:16.954518Z,add,34.966515,127.160857,168.0,,,U,1.0,1e-04,MNDB
2024T000000013,KS,MOPB,HH,2024-06-11T23:27:07.627304Z,2024-06-11T23:27:20.551515Z,add,34.8173,126.3812,87.0,,,U,1.0,0.0,MOPB
