event_id,data_id,sta,ptime,stime,pol
J2016041507465204,D20160415000600,KOSHIK,2016-04-15T07:47:17.330000Z,,K
J2016041507465204,D20160415000600,YTOYOT,2016-04-15T07:47:19.740000Z,,K
J2016041507465204,D20160415000600,KUDAMA,2016-04-15T07:47:20.540000Z,,K
J2016041507465204,D20160415000600,HIROMI,2016-04-15T07:47:20.740000Z,,K
J2016041507465204,D20160415000600,NAGAHA,2016-04-15T07:47:21.140000Z,,K
J2016041507465204,D20160415000600,TOSASH,2016-04-15T07:47:21.930000Z,,K
J2016041507465204,D20160415000600,KUBOKA,2016-04-15T07:47:26.330000Z,,K
J2016041507465204,D20160415000600,MITSUS,2016-04-15T07:47:26.330000Z,,K
J2016041507465204,D20160415000600,KURAHA,2016-04-15T07:47:26.740000Z,,K
J2016041507465204,D20160415000600,HIKIMI,2016-04-15T07:47:26.940000Z,,K
J2016041507465204,D20160415000600,HAGIMI,2016-04-15T07:47:27.440000Z,,K
J2016041507465204,D20160415000600,TSUSHM,2016-04-15T07:47:28.540000Z,,K
J2016041507465204,D20160415000600,TOYOHI,2016-04-15T07:47:31.630000Z,,K
J2016041507465204,D20160415000600,MONOBE,2016-04-15T07:47:37.540000Z,,K
J2016041507465204,D20160415000600,SAKAUR,2016-04-15T07:47:44.330000Z,,K
J2016041507465204,D20160415000600,KURAYO,2016-04-15T07:47:50.030000Z,,K
J2016042016013028,D20160420001172,N.MSIH,2016-04-20T16:01:33.000000Z,2016-04-20T16:01:34.950000Z,D
J2016042016013028,D20160420001172,KU.KMP,2016-04-20T16:01:34.240000Z,2016-04-20T16:01:36.970000Z,D
J2016042016013028,D20160420001172,N.KKCH,2016-04-20T16:01:34.180000Z,2016-04-20T16:01:37.050000Z,U
J2016042016013028,D20160420001172,N.TYNH,2016-04-20T16:01:35.080000Z,2016-04-20T16:01:38.400000Z,U
J2016042016013028,D20160420001172,N.ASVH,2016-04-20T16:01:35.150000Z,2016-04-20T16:01:38.710000Z,U
J2016042016013028,D20160420001172,N.TMNH,2016-04-20T16:01:35.740000Z,2016-04-20T16:01:39.570000Z,U
J2016042016013028,D20160420001172,N.HKSH,2016-04-20T16:01:35.730000Z,2016-04-20T16:01:39.650000Z,D
J2016042016013028,D20160420001172,TAMANA,2016-04-20T16:01:35.880000Z,2016-04-20T16:01:39.910000Z,U
J2016042016013028,D20160420001172,TAMANA,2016-04-20T16:01:35.880000Z,,K
J2016042016013028,D20160420001172,N.YABH,2016-04-20T16:01:35.910000Z,2016-04-20T16:01:40.270000Z,U
J2016042016013028,D20160420001172,N.KHKH,2016-04-20T16:01:36.300000Z,2016-04-20T16:01:40.350000Z,U
J2016042016013028,D20160420001172,KUIZU3,2016-04-20T16:01:36.400000Z,2016-04-20T16:01:40.720000Z,U
J2016042016013028,D20160420001172,KUIZU3,2016-04-20T16:01:36.400000Z,,K
J2016042016013028,D20160420001172,NAKATS,2016-04-20T16:01:36.620000Z,2016-04-20T16:01:40.940000Z,U
J2016042016013028,D20160420001172,NAKATS,2016-04-20T16:01:36.620000Z,,K
J2016042016013028,D20160420001172,N.MSMH,2016-04-20T16:01:36.410000Z,2016-04-20T16:01:40.970000Z,U
J2016042016013028,D20160420001172,KU.TAI,2016-04-20T16:01:36.590000Z,2016-04-20T16:01:40.970000Z,U
J2016042016013028,D20160420001172,N.OGNH,2016-04-20T16:01:37.720000Z,2016-04-20T16:01:42.960000Z,U
J2016042016013028,D20160420001172,KU.OMT,2016-04-20T16:01:37.560000Z,2016-04-20T16:01:42.760000Z,U
J2016042016013028,D20160420001172,N.NMNH,2016-04-20T16:01:37.820000Z,2016-04-20T16:01:43.170000Z,U
J2016042016013028,D20160420001172,N.GKSH,2016-04-20T16:01:38.240000Z,2016-04-20T16:01:43.990000Z,U
J2016042016013028,D20160420001172,KU.ITK,2016-04-20T16:01:39.000000Z,2016-04-20T16:01:45.430000Z,U
J2016042016013028,D20160420001172,N.SBAH,2016-04-20T16:01:39.050000Z,2016-04-20T16:01:45.110000Z,U
J2016042016013028,D20160420001172,N.UKHH,2016-04-20T16:01:39.250000Z,2016-04-20T16:01:45.630000Z,U
J2016042016013028,D20160420001172,KU.TKD,2016-04-20T16:01:39.940000Z,2016-04-20T16:01:46.610000Z,U
J2016042016013028,D20160420001172,N.SNIH,2016-04-20T16:01:41.030000Z,2016-04-20T16:01:48.820000Z,U
