net,sta,chan,lat,lon,elv
,NOBUKA,U,42.2825,142.7488,115.0
,NOMOZA,U,32.6327,129.7987,20.0
,NSAKAI,U,36.4098,138.0975,930.0
,OBARA,U,35.2688,137.2535,600.0
,ODAWA2,U,35.2665,139.085,380.0
,OFUNAI,U,39.083,141.6655,180.0
,OHASAM,U,39.4758,141.2888,210.0
,OHATA,U,41.3847,141.0447,80.0
,OKI2,U,36.2908,133.2482,106.0
,OKIERJ,U,27.3612,128.5708,235.0
,OKIGUS,U,24.7637,125.4053,60.0
,OKUCHI,U,32.1435,130.5962,440.0
,OKURA,U,38.3685,140.6605,390.0
,OKUSHM,U,42.0852,139.4717,79.0
,OSHIM3,U,34.7208,139.428,405.0
,OTAMA,U,37.5212,140.3333,350.0
,OURI,U,38.4573,141.3453,40.0
,ROKKAS,U,41.0073,141.3664,54.0
,ROKUGO,U,39.3992,140.6303,200.0
,RYOKAM,U,36.0202,138.8978,480.0
,SADO,U,38.04,138.2572,146.0
,SAGARA,U,34.6777,138.183,107.0
,SAIJYO,U,35.0018,133.1137,470.0
,SAKAID,U,34.377,133.928,210.0
,SASAKA,U,37.8213,139.3138,145.0
,SETANA,U,42.4225,139.8767,20.0
,SHAKOT,U,43.3548,140.472,10.0
,SHIMAM,U,42.6455,140.0413,72.0
,SHIMOB,U,35.5008,138.5412,775.0
,SHIOBA,U,36.9715,139.9165,460.0
,SHIPPU,U,43.2753,141.4175,60.0
,SHIRAT,U,38.224,140.0622,300.0
,SHIRIU,U,41.5322,140.4143,55.0
,SHIUR2,U,41.0602,140.4077,60.0
,SIKINE,U,34.3347,139.2106,39.0
,SINHDK,U,42.4099,142.4667,79.0
,SINONB,U,34.751,137.9857,75.0
,SIZUKU,U,39.7415,140.9527,256.0
,SSYABE,U,34.9142,137.5073,67.0
,SUZU,U,37.4503,137.3587,10.0
,SUZUYA,U,31.5093,130.4527,400.0
,TAKARA,U,29.1532,129.203,35.0
,TAKATO,U,35.8767,138.1312,1180.0
,TAKAZA,U,31.9047,131.0857,170.0
,TAKISA,U,34.8592,137.7185,150.0
,TAMANA,U,32.967,130.5305,230.0
,TANBAR,U,33.7822,133.0462,410.0
,TANEG3,U,30.658,130.9773,240.0
,TANOHA,U,39.9415,141.86,200.0
,TARAMA,U,24.6425,124.7052,7.0
,TASHR2,U,31.1698,130.9193,430.0
,TENMAB,U,40.7895,141.0647,130.0
,TENNOD,U,35.706,140.8553,62.0
,THIROO,U,42.2913,143.2988,54.0
,TOBISH,U,39.1982,139.554,50.0
,TOKIWA,U,40.2718,140.1613,42.0
,TOKUNO,U,27.7895,128.9485,170.0
,TOKYO,U,35.689,139.7558,18.0
,TOSASH,U,32.8632,132.7997,180.0
,TOSIMA,U,34.5236,139.2883,147.0
,TOYOHI,U,34.6657,132.4185,470.0
,TSUNO,U,32.249,131.5022,130.0
,TSUSHM,U,34.5275,129.3963,70.0
,TTATEY,U,36.6082,137.3303,236.0
,UCHIUR,U,35.1597,140.1991,80.0
,URESHI,U,33.0965,129.9467,160.0
,USUKI,U,33.069,131.7482,140.0
,WACHI,U,35.2857,135.3987,172.0
,YAGISH,U,44.4292,141.4227,35.0
,YAKUHI,U,30.2378,130.5097,90.0
,YAKUM2,U,42.1197,140.3665,120.0
,YAMAUE,U,36.3405,140.5868,20.0
,YANAIZ,U,37.4098,139.7015,420.0
,YASAKA,U,35.6317,135.1012,260.0
,YASUOK,U,35.3627,137.8593,800.0
,YATSUM,U,38.5958,139.7105,200.0
