event_id,data_id,jst,lat,lon,dep,mag,tmag,mag2,tmag2,strike,dip,slip,dist
J2016042016013028,D20160420001172,2016-04-20T16:01:30.280000Z,32.837667,130.799333,15.23,4.0,D,4.1,W,267,35,-91,9.34
J2016041507465204,D20160415000600,2016-04-15T07:46:52.040000Z,32.73,130.797,10.52,4.4,D,4.4,V,20,69,172,8.54
